"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Birmingham","O/s Temple Bar, Lower Parade Sutton Coldfield.","O/s Temple Bar, Lower Parade Sutton Coldfield.","NA"
2011,"Birmingham","O/S Temple Bar, S/C Town Centre","O/S Temple Bar, S/C Town Centre","NA"
2011,"Birmingham","O/s temple bar, sutton coldfield, west milands","O/s temple bar, sutton coldfield, west milands","NA"
2011,"Birmingham","O/s the hairy lemon","O/s the hairy lemon","NA"
2011,"Birmingham","On pavement outside The Royal Hotel","On pavement outside The Royal Hotel","NA"
2011,"Birmingham","Ourtside Royal Pub, Lichfield Road, Sutton Coldfield","Ourtside Royal Pub, Lichfield Road, Sutton Coldfield","NA"
2011,"Birmingham","Outside Glendale Tower, Lyndhurst Estate","Outside Glendale Tower, Lyndhurst Estate","NA"
2011,"Birmingham","Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`","Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`","NA"
2011,"Birmingham","Outside Moo Moo Club, Town Centre, Sutton Coldfield","Outside Moo Moo Club, Town Centre, Sutton Coldfield","NA"
2011,"Birmingham","Outside Moo Moo night club, South Parade","Outside Moo Moo night club, South Parade","NA"
2011,"Birmingham","Outside Temple Parade, Lower Parade","Outside Temple Parade, Lower Parade","NA"
2011,"Birmingham","Outside the Temple Bar, Lower Parade, SC","Outside the Temple Bar, Lower Parade, SC","NA"
2011,"Birmingham","PARADE . SUTTON COLDFIELD","PARADE . SUTTON COLDFIELD","NA"
2011,"Birmingham","Parade SC","Parade SC","NA"
2011,"Birmingham","Parade sutton coldfield","Parade sutton coldfield","NA"
2011,"Birmingham","Parade sutton coldfield","Parade sutton coldfield","NA"
2011,"Birmingham","PARADE SUTTON COLDFIELD","PARADE SUTTON COLDFIELD","NA"
2011,"Birmingham","Parade sutton town","Parade sutton town","NA"
2011,"Birmingham","Parade, Sutton Coldfield","Parade, Sutton Coldfield","NA"
2011,"Birmingham","Parade, Sutton Coldfield","Parade, Sutton Coldfield","NA"
2011,"Birmingham","Parade, Sutton Town Centre","Parade, Sutton Town Centre","NA"
2011,"Birmingham","Parkeston Crescent, Kinsgatnding, B'ham","Parkeston Crescent, Kinsgatnding, B'ham","NA"
2011,"Birmingham","PLANTS GROVE ERDINGTON","PLANTS GROVE ERDINGTON","NA"
2011,"Birmingham","Pype Hayes Road, Pype Hayes, B'ham","Pype Hayes Road, Pype Hayes, B'ham","NA"
2011,"Birmingham","Pype Hayes Road, Pype Hayes, B'ham","Pype Hayes Road, Pype Hayes, B'ham","NA"
2011,"Birmingham","Pype Hayes Road, Pype Hayes, B'ham","Pype Hayes Road, Pype Hayes, B'ham","NA"
2011,"Birmingham","Queen street","Queen street","NA"
2011,"Birmingham","Queen street","Queen street","NA"
2011,"Birmingham","Queen street","Queen street","NA"
2011,"Birmingham","Queen street","Queen street","NA"
2011,"Birmingham","Queen Street Sutton Coldfield Town centre","Queen Street Sutton Coldfield Town centre","NA"
2011,"Birmingham","Queslett Road East","Queslett Road East","NA"
2011,"Birmingham","REDACRE RD BOLDMERE","REDACRE RD BOLDMERE","NA"
2011,"Birmingham","RESERVOIR ROAD","RESERVOIR ROAD","NA"
2011,"Birmingham","Ridgeway","Ridgeway","NA"
2011,"Birmingham","Slade Road, Erdington, B'ham","Slade Road, Erdington, B'ham","NA"
2011,"Birmingham","Slade Road, Erdington, B'ham","Slade Road, Erdington, B'ham","NA"
2011,"Birmingham","Soth parade, Sutton Coldfield","Soth parade, Sutton Coldfield","NA"
2011,"Birmingham","Soth parade, Sutton Coldfield","Soth parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade","South parade","NA"
2011,"Birmingham","SOUTH PARADE","SOUTH PARADE","NA"
2011,"Birmingham","SOUTH PARADE","SOUTH PARADE","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","SOUTH PARADE","SOUTH PARADE","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","South parade","South parade","NA"
2011,"Birmingham","South parade","South parade","NA"
2011,"Birmingham","South Parade","South Parade","NA"
2011,"Birmingham","South Parade Û town centre, Sutton Coldfield","South Parade Û town centre, Sutton Coldfield","NA"
2011,"Birmingham","South Parade Sutton Coldfield","South Parade Sutton Coldfield","NA"
2011,"Birmingham","South parade Sutton Coldfield","South parade Sutton Coldfield","NA"
2011,"Birmingham","South Parade Sutton Town centre","South Parade Sutton Town centre","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade, Sutton Coldfield","South parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade, Sutton Coldfield","South parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade, Sutton Coldfield","South parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade, Sutton Coldfield","South parade, Sutton Coldfield","NA"
2011,"Birmingham","South parade, Sutton Town Centre","South parade, Sutton Town Centre","NA"
2011,"Birmingham","South Parade, Town Centre, Sutton Coldfield","South Parade, Town Centre, Sutton Coldfield","NA"
2011,"Birmingham","STORNAWAY ROAD CASTLE VALE","STORNAWAY ROAD CASTLE VALE","NA"
2011,"Birmingham","STREETLEY ROAD ERDINGTON","STREETLEY ROAD ERDINGTON","NA"
2011,"Birmingham","Sumburgh croft","Sumburgh croft","NA"
2011,"Birmingham","Sutton Coldfield Town Centre","Sutton Coldfield Town Centre","NA"
2011,"Birmingham","Sutton Coldfield Town Centre","Sutton Coldfield Town Centre","NA"
2011,"Birmingham","Sutton New Road","Sutton New Road","NA"
2011,"Birmingham","Sutton New Road Erdington","Sutton New Road Erdington","NA"
2011,"Birmingham","SUTTON NEW ROAD ERDINGTON","SUTTON NEW ROAD ERDINGTON","NA"
2011,"Birmingham","SUTTON NEW ROAD ERDINGTON","SUTTON NEW ROAD ERDINGTON","NA"
2011,"Birmingham","Sutton New Road, Erdington, B'ham","Sutton New Road, Erdington, B'ham","NA"
2011,"Birmingham","Sutton Parade","Sutton Parade","NA"
2011,"Birmingham","SUTTON PARADE","SUTTON PARADE","NA"
2011,"Birmingham","Sutton Parade","Sutton Parade","NA"
2011,"Birmingham","Sutton Town centre","Sutton Town centre","NA"
2011,"Birmingham","Sutton town centre","Sutton town centre","NA"
2011,"Birmingham","Sutton town centre","Sutton town centre","NA"
2011,"Birmingham","Sutton town centre","Sutton town centre","NA"
2011,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2011,"Birmingham","Tedbury crescent","Tedbury crescent","NA"
2011,"Birmingham","Tesco's Express, Walsall Road, Four Oaks, Sutton Coldfield","Tesco's Express, Walsall Road, Four Oaks, Sutton Coldfield","NA"
2011,"Birmingham","The Parade","The Parade","NA"
2011,"Birmingham","The Parade","The Parade","NA"
2011,"Birmingham","The Parade","The Parade","NA"
2011,"Birmingham","The parade sutton","The parade sutton","NA"
2011,"Birmingham","THE PARADE SUTTON COLDFIELD","THE PARADE SUTTON COLDFIELD","NA"
2011,"Birmingham","The Parade, Birmingham Road, Sutton Coldfield","The Parade, Birmingham Road, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Town Centre","The Parade, Sutton Town Centre","NA"
2011,"Birmingham","The parade....","The parade....","NA"
2011,"Birmingham","THE RIDGEWAY","THE RIDGEWAY","NA"
2011,"Birmingham","The Ridgeway","The Ridgeway","NA"
2011,"Birmingham","The Ridgeway","The Ridgeway","NA"
2011,"Birmingham","The Swan PH","The Swan PH","NA"
2011,"Birmingham","Turnhouse road","Turnhouse road","NA"
2011,"Birmingham","Upper Holland Road","Upper Holland Road","NA"
2011,"Birmingham","Victoria Rd","Victoria Rd","NA"
2011,"Birmingham","Victoria Rd","Victoria Rd","NA"
2011,"Birmingham","Victoria rd","Victoria rd","NA"
2011,"Birmingham","Walsh Drive, Walmley, Sutton Coldfield","Walsh Drive, Walmley, Sutton Coldfield","NA"
2011,"Birmingham","Warren Farm Rd","Warren Farm Rd","NA"
2011,"Birmingham","Warren Farm Road","Warren Farm Road","NA"
2011,"Birmingham","Whitehouse common rd","Whitehouse common rd","NA"
2011,"Birmingham","Wilton Rd","Wilton Rd","NA"
2011,"Birmingham","Windsor House, Jarvis Road, Erdington","Windsor House, Jarvis Road, Erdington","NA"
2011,"Birmingham","Witton Lodge Road","Witton Lodge Road","NA"
2011,"Birmingham","Witton lodge Road, erdington","Witton lodge Road, erdington","NA"
2011,"Birmingham","York Road","York Road","NA"
2011,"Birmingham","Abdon Ave","Abdon Ave","NA"
2011,"Birmingham","Alcester Road South","Alcester Road South","NA"
2011,"Birmingham","Alvechurch rd","Alvechurch rd","NA"
2011,"Birmingham","Arden road","Arden road","NA"
2011,"Birmingham","Ardencote froad","Ardencote froad","NA"
2011,"Birmingham","Ashley Close","Ashley Close","NA"
2011,"Birmingham","Balti spice Bristol rd South","Balti spice Bristol rd South","NA"
2011,"Birmingham","Barnes Hill","Barnes Hill","NA"
2011,"Birmingham","Barrow House","Barrow House","NA"
2011,"Birmingham","Bell Street","Bell Street","NA"
2011,"Birmingham","Birmingham New Street","Birmingham New Street","NA"
2011,"Birmingham","Birmingham New Street","Birmingham New Street","NA"
2011,"Birmingham","Birmingham New Street","Birmingham New Street","NA"
2011,"Birmingham","Birmingham Street, Oldbury","Birmingham Street, Oldbury","NA"
2011,"Birmingham","Blandford Road","Blandford Road","NA"
2011,"Birmingham","Bournbrook Road","Bournbrook Road","NA"
2011,"Birmingham","Bournville Front Office","Bournville Front Office","NA"
2011,"Birmingham","Bournville front office","Bournville front office","NA"
2011,"Birmingham","Bournville lane","Bournville lane","NA"
2011,"Birmingham","Bournville Lane","Bournville Lane","NA"
2011,"Birmingham","Bournville lane front office","Bournville lane front office","NA"
2011,"Birmingham","Bowling green road","Bowling green road","NA"
2011,"Birmingham","Bristol Rd","Bristol Rd","NA"
2011,"Birmingham","Bristol rd","Bristol rd","NA"
2011,"Birmingham","Bristol rd","Bristol rd","NA"
2011,"Birmingham","Bristol rd","Bristol rd","NA"
2011,"Birmingham","Bristol rd selly oak","Bristol rd selly oak","NA"
2011,"Birmingham","Bristol rd south","Bristol rd south","NA"
2011,"Birmingham","Bristol rd south","Bristol rd south","NA"
2011,"Birmingham","Bristol rd sth","Bristol rd sth","NA"
2011,"Birmingham","Bristol Rd, Northfield","Bristol Rd, Northfield","NA"
2011,"Birmingham","Bristol Rd, Selly Oak","Bristol Rd, Selly Oak","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol road","Bristol road","NA"
2011,"Birmingham","Bristol Road","Bristol Road","NA"
2011,"Birmingham","Bristol Road Northfield","Bristol Road Northfield","NA"
2011,"Birmingham","Bristol road selly oak","Bristol road selly oak","NA"
2011,"Birmingham","Bristol Road selly Oak","Bristol Road selly Oak","NA"
2011,"Birmingham","Bristol road selly oak","Bristol road selly oak","NA"
2011,"Birmingham","Bristol Road South, Northfield","Bristol Road South, Northfield","NA"
2011,"Birmingham","Bristol Road South, Selly Oak","Bristol Road South, Selly Oak","NA"
2011,"Birmingham","Bristol Road, Selly Oak","Bristol Road, Selly Oak","NA"
2011,"Birmingham","Bristol Road, Selly Oak","Bristol Road, Selly Oak","NA"
2011,"Birmingham","Bristol Road, Selly Oak","Bristol Road, Selly Oak","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Brook lane","Brook lane","NA"
2011,"Birmingham","Bunburry road","Bunburry road","NA"
2011,"Birmingham","Bunburry road","Bunburry road","NA"
2011,"Birmingham","Burnhill Grove ,Weoley Castle ,Birmingham.","Burnhill Grove ,Weoley Castle ,Birmingham.","NA"
2011,"Birmingham","Car Park of Bournville lane P/Stn","Car Park of Bournville lane P/Stn","NA"
2011,"Birmingham","Chinbrook road, billsley","Chinbrook road, billsley","NA"
2011,"Birmingham","Church hill nortthfield","Church hill nortthfield","NA"
2011,"Birmingham","Church Road","Church Road","NA"
2011,"Birmingham","Compton Road, Cradley Heath","Compton Road, Cradley Heath","NA"
2011,"Birmingham","Costcutters, Ardern Road","Costcutters, Ardern Road","NA"
2011,"Birmingham","Dawberry road","Dawberry road","NA"
2011,"Birmingham","Dawlish Road","Dawlish Road","NA"
2011,"Birmingham","Dingle club","Dingle club","NA"
2011,"Birmingham","Doddington road","Doddington road","NA"
2011,"Birmingham","Dog Kennel Lane","Dog Kennel Lane","NA"
2011,"Birmingham","Dog pool lane","Dog pool lane","NA"
2011,"Birmingham","Downfield drive","Downfield drive","NA"
2011,"Birmingham","Dudley bus station","Dudley bus station","NA"
2011,"Birmingham","Dwellings Lane","Dwellings Lane","NA"
2011,"Birmingham","EAFO","EAFO","NA"
2011,"Birmingham","Edgbaston Cricket Ground","Edgbaston Cricket Ground","NA"
2011,"Birmingham","Edgbaston park road","Edgbaston park road","NA"
2011,"Birmingham","Exeter Rd / Hubert Rd","Exeter Rd / Hubert Rd","NA"
2011,"Birmingham","Fordhouse lane","Fordhouse lane","NA"
2011,"Birmingham","Four ACres ,Quinton.","Four ACres ,Quinton.","NA"
2011,"Birmingham","Frogmill Road, Frankley","Frogmill Road, Frankley","NA"
2011,"Birmingham","Genners lane","Genners lane","NA"
2011,"Birmingham","Glastonbury Road","Glastonbury Road","NA"
2011,"Birmingham","Great park rubery","Great park rubery","NA"
2011,"Birmingham","Griffins Brook Lane","Griffins Brook Lane","NA"
2011,"Birmingham","Grosvenor Shopping Centre","Grosvenor Shopping Centre","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley road","Hagley road","NA"
2011,"Birmingham","Hagley road","Hagley road","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley road","Hagley road","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley Road","Hagley Road","NA"
2011,"Birmingham","Hagley Road, Edgbaston","Hagley Road, Edgbaston","NA"
2011,"Birmingham","Hagley Road, Eedgbaston","Hagley Road, Eedgbaston","NA"
2011,"Birmingham","Harborne Cricket club","Harborne Cricket club","NA"
2011,"Birmingham","Harborne high st","Harborne high st","NA"
2011,"Birmingham","Harborne High Street","Harborne High Street","NA"
2011,"Birmingham","Harborne High Street","Harborne High Street","NA"
2011,"Birmingham","Harborne High street","Harborne High street","NA"
2011,"Birmingham","Harborne Park Road","Harborne Park Road","NA"
2011,"Birmingham","Harborne Police Station","Harborne Police Station","NA"
2011,"Birmingham","Harbourne cricket club","Harbourne cricket club","NA"
2011,"Birmingham","Hawkesley End","Hawkesley End","NA"
2011,"Birmingham","Hawkesley Square","Hawkesley Square","NA"
2011,"Birmingham","Hazelwell Street","Hazelwell Street","NA"
2011,"Birmingham","Heathmill lane digbeth","Heathmill lane digbeth","NA"
2011,"Birmingham","Herons wood","Herons wood","NA"
2011,"Birmingham","High St","High St","NA"
2011,"Birmingham","High St Harborne","High St Harborne","NA"
2011,"Birmingham","High st harborne","High st harborne","NA"
2011,"Birmingham","High st northfield","High st northfield","NA"
2011,"Birmingham","High Street harborne","High Street harborne","NA"
2011,"Birmingham","High Street Harborne","High Street Harborne","NA"
2011,"Birmingham","High street harborne","High street harborne","NA"
2011,"Birmingham","High street harborne","High street harborne","NA"
2011,"Birmingham","High street harbourne","High street harbourne","NA"
2011,"Birmingham","High Street, Harborne","High Street, Harborne","NA"
2011,"Birmingham","High Street, Harborne","High Street, Harborne","NA"
2011,"Birmingham","Highfdield Lane","Highfdield Lane","NA"
2011,"Birmingham","Highfield lane","Highfield lane","NA"
2011,"Birmingham","Highfield Lane, Quinton","Highfield Lane, Quinton","NA"
2011,"Birmingham","Hoggs Lane, Northfield","Hoggs Lane, Northfield","NA"
2011,"Birmingham","Hollybank Road","Hollybank Road","NA"
2011,"Birmingham","Holywood Bowl, Rubery","Holywood Bowl, Rubery","NA"
2011,"Birmingham","Home address","Home address","NA"
2011,"Birmingham","Honnington Crescent, Northfield","Honnington Crescent, Northfield","NA"
2011,"Birmingham","Jiggins lane","Jiggins lane","NA"
2011,"Birmingham","Jiggins Lane, Bartley Green","Jiggins Lane, Bartley Green","NA"
2011,"Birmingham","Kembertone road","Kembertone road","NA"
